Time-Stamp,Location Status,Preferred Temp,Current Temp,Feedback,Energy Saving Mode,Manual Override,Temperature Adjustment
10/09/2024 13:39:10,0,22,18,4,0,0,17
07/09/2024 10:19:43,0,24,24,0,0,1,16
13/09/2024 06:50:02,0,21,19,3,0,0,17
15/09/2024 10:45:10,0,21,24,3,0,0,18
13/09/2024 16:19:35,0,20,16,2,1,0,20
06/09/2024 16:28:58,1,22,19,4,1,0,20
11/09/2024 17:37:45,1,17,23,1,1,1,20
10/09/2024 13:04:13,1,16,17,0,0,1,19
08/09/2024 14:20:34,0,21,19,4,0,0,17
11/09/2024 09:48:36,0,18,16,2,1,0,17
13/09/2024 07:17:51,0,24,16,2,0,0,16
12/09/2024 06:54:14,0,17,19,1,1,0,19
10/09/2024 07:18:05,0,19,22,1,0,0,20
11/09/2024 14:33:32,0,19,23,2,1,1,16
11/09/2024 13:54:15,0,19,24,3,1,1,20
15/09/2024 18:46:59,0,18,17,4,0,0,19
06/09/2024 06:20:52,1,22,18,1,0,0,17
14/09/2024 13:15:39,0,21,21,2,1,0,16
08/09/2024 13:50:36,1,22,23,2,0,1,19
11/09/2024 09:28:53,0,17,21,2,0,0,18
14/09/2024 12:26:13,1,23,23,2,0,0,20
12/09/2024 12:17:49,1,17,19,3,1,0,16
07/09/2024 09:05:37,1,21,23,2,1,1,18
08/09/2024 11:15:27,1,21,18,2,1,1,16
09/09/2024 08:06:59,1,22,22,2,0,1,20
06/09/2024 19:26:12,0,16,19,4,0,0,18
06/09/2024 18:45:14,1,19,17,1,1,0,19
09/09/2024 07:00:56,1,23,19,4,0,0,18
16/09/2024 07:43:39,0,20,23,4,0,1,17
13/09/2024 10:37:52,0,19,23,1,1,0,17
13/09/2024 14:30:24,1,17,16,3,0,0,20
12/09/2024 15:25:22,0,24,16,3,1,1,16
15/09/2024 18:25:12,1,23,24,2,0,0,16
12/09/2024 08:49:50,1,18,20,0,0,0,19
13/09/2024 11:09:39,1,20,17,0,0,1,20
12/09/2024 09:29:43,1,22,22,1,1,1,20
12/09/2024 19:52:59,0,23,23,1,0,1,19
09/09/2024 09:06:03,1,20,16,3,1,1,19
10/09/2024 08:55:13,1,24,17,4,0,1,16
08/09/2024 13:41:12,1,19,20,1,0,0,17
10/09/2024 18:11:17,1,20,19,4,0,0,18
10/09/2024 19:48:31,1,23,17,2,1,0,18
14/09/2024 19:31:31,1,16,20,0,1,1,20
15/09/2024 13:59:33,0,24,18,3,0,1,20
11/09/2024 08:38:33,0,22,20,4,0,0,20
15/09/2024 17:09:19,1,18,18,3,1,0,16
11/09/2024 19:55:03,0,23,18,3,0,1,20
11/09/2024 19:06:12,1,20,16,2,0,0,17
06/09/2024 08:03:12,0,21,24,4,1,1,18
08/09/2024 19:49:38,0,23,23,3,1,0,19
15/09/2024 16:34:41,0,17,23,0,1,1,16
09/09/2024 12:07:18,0,20,18,2,1,0,18
09/09/2024 12:17:58,1,23,23,2,1,1,17
07/09/2024 18:02:21,1,18,21,4,1,0,17
11/09/2024 15:10:55,0,23,19,0,0,0,16
16/09/2024 11:52:29,1,23,22,2,1,0,19
06/09/2024 18:36:30,0,24,19,3,1,1,18
11/09/2024 12:44:28,0,18,22,2,1,1,19
11/09/2024 15:43:26,0,22,16,4,0,1,17
15/09/2024 18:20:13,1,20,18,2,1,0,16
08/09/2024 17:26:22,0,18,22,2,0,1,19
16/09/2024 18:16:03,1,23,18,0,1,0,20
09/09/2024 16:45:29,0,17,22,1,0,0,17
13/09/2024 12:11:33,0,18,21,1,0,0,20
09/09/2024 16:22:13,1,16,23,3,1,0,18
14/09/2024 11:11:39,0,21,24,0,1,0,20
11/09/2024 15:54:17,1,18,21,3,0,1,16
07/09/2024 14:03:44,1,22,17,0,0,0,16
